Comuna,Población Total,Contagiados a la Fecha,Activos,Tasa
Arica,247552,83092,296.0,33512,2
Camarones,1233,216,1.0,17518,2
General Lagos,810,123,3.0,15061,7
Putre,2515,595,2.0,23578,5
Desconocido Arica y Parinacota,0,228,0.0,
Alto Hospicio,129999,34392,168.0,26386,4
Camina,1375,382,2.0,27709,1
Colchane,1583,1120,1.0,70688,6
Huara,3000,783,0.0,26100,0
Iquique,223463,75088,338.0,33521,4
Pica,5958,2728,21.0,45636,1
Pozo Almonte,17395,5709,48.0,32647,3
Desconocido Tarapaca,0,904,0.0,
Antofagasta,425725,113363,477.0,26568,3
Calama,190336,52157,276.0,27325,9
Maria Elena,6814,1523,4.0,22307,0
Mejillones,14776,4187,18.0,28262,0
Ollague,287,236,0.0,82230,0
San Pedro de Atacama,10434,3151,9.0,30170,6
Sierra Gorda,1746,490,2.0,28006,9
Taltal,13657,3299,18.0,24053,6
Tocopilla,28079,6441,30.0,22899,7
Desconocido Antofagasta,0,743,0.0,
Alto del Carmen,5729,1124,12.0,19532,2
Caldera,19426,8339,94.0,42705,7
Chanaral,13164,3688,18.0,27970,2
Copiapo,171766,64935,402.0,37670,4
Diego de Almagro,14358,6558,108.0,45298,8
Freirina,7681,2909,13.0,37807,6
Huasco,11264,3461,40.0,30513,1
Tierra Amarilla,14312,5430,38.0,37779,5
Vallenar,57009,18127,134.0,31679,2
Desconocido Atacama,0,112,0.0,
Andacollo,11791,2992,14.0,25332,9
Canela,9546,1708,7.0,17839,9
Combarbala,13884,3186,10.0,22889,7
Coquimbo,256735,66016,323.0,25647,5
Illapel,32801,9486,69.0,28794,9
La Higuera,4450,1120,5.0,25123,6
La Serena,249656,68628,332.0,27409,7
Los Vilos,23374,5905,53.0,25113,4
Monte Patria,32527,6688,17.0,20530,6
Ovalle,121269,32242,175.0,26485,7
Paiguano,4675,1604,12.0,34224,6
Punitaqui,12165,2920,22.0,23838,9
Rio Hurtado,4372,942,2.0,21500,5
Salamanca,29110,7562,67.0,25860,5
Vicuna,29741,6655,32.0,22309,3
Desconocido Coquimbo,0,273,0.0,
Algarrobo,15174,5435,19.0,35712,4
Cabildo,20663,4329,3.0,20926,3
Calera,53591,12452,40.0,23188,6
Calle Larga,16482,5148,30.0,31155,2
Cartagena,25357,7250,36.0,28504,9
Casablanca,29170,8233,48.0,28155,6
Catemu,15213,4388,19.0,28771,4
Concon,45889,13457,56.0,29248,8
El Quisco,17742,6183,62.0,34579,0
El Tabo,14338,5579,28.0,38778,1
Hijuelas,19099,4065,12.0,21231,5
Isla de Pascua,8277,1771,5.0,21372,5
Juan Fernandez,1033,305,0.0,29525,7
La Cruz,25321,6203,29.0,24406,6
La Ligua,37739,9403,31.0,24870,8
Limache,49931,12478,46.0,24926,4
Llaillay,26533,7598,65.0,28492,8
Los Andes,68093,24046,62.0,35266,5
Nogales,23490,4672,24.0,19799,9
Olmue,19266,5062,30.0,26170,5
Panquehue,7633,2359,11.0,30826,7
Papudo,6201,1902,8.0,30624,1
Petorca,10558,3088,9.0,29191,1
Puchuncavi,20071,6041,34.0,29993,5
Putaendo,17645,5551,26.0,31385,7
Quillota,97572,27437,93.0,28061,3
Quilpue,167085,43247,148.0,25836,6
Quintero,36135,9646,31.0,26663,9
Rinconada,11263,4067,23.0,36038,4
San Antonio,96761,26832,103.0,27669,2
San Esteban,20643,7887,39.0,38085,5
San Felipe,83494,24033,77.0,28723,0
Santa Maria,16367,4943,29.0,30078,8
Santo Domingo,11934,4091,17.0,34196,4
Valparaiso,315732,90909,257.0,28743,4
Villa Alemana,139310,34137,98.0,24451,9
Vina del Mar,361371,99557,385.0,27479,8
Zapallar,7994,3233,16.0,40305,2
Desconocido Valparaiso,0,2053,0.0,
Alhue,7405,2800,6.0,37771,8
Buin,109641,29057,102.0,26444,5
Calera de Tango,28525,6854,16.0,24007,0
Cerrillos,88956,21005,80.0,23557,7
Cerro Navia,142465,33997,92.0,23819,9
Colina,180353,42291,150.0,23404,7
Conchali,139195,31725,108.0,22740,0
Curacavi,36430,11052,51.0,30260,8
El Bosque,172000,43638,102.0,25335,5
El Monte,40014,9678,25.0,24149,0
Estacion Central,206792,41082,111.0,19833,5
Huechuraba,112528,28165,105.0,24972,5
Independencia,142065,29960,86.0,21053,7
Isla de Maipo,40171,11355,33.0,28216,9
La Cisterna,100434,24837,115.0,24664,0
La Florida,402433,108264,360.0,26840,2
La Granja,122557,31105,111.0,25317,2
La Pintana,189335,40738,67.0,21494,7
La Reina,100252,27974,150.0,27821,9
Lampa,126898,25996,67.0,20455,8
Las Condes,330759,85890,317.0,25918,3
